ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
83.0,34.9,1704.0,56.0,0.6281760546208243,11.73,55.0,30.2,62.4,0.6825259445388235,0.3786023977917273,0.6825259445388235
83.0,63.5,1926.0,41.0,-7.8,17.8,63.0,32.5,67.8,0.6806865137408035,0.3785105205201558,0.6806865137408035
83.0,45.9,2137.0,33.0,0.0,14.43,64.0,31.0,71.8,0.6794805347299476,0.3784175670415494,0.6794805347299476
83.0,32.5,2136.0,20.0,0.0,8.95,60.0,27.1,74.1,0.6789695527285741,0.3783766012658107,0.6789695527285741
83.0,18.4,1949.0,19.0,0.0,5.25,47.0,23.1,63.5,0.6766264391328904,0.3796440720193925,0.6766264391328904
83.0,18.0,1394.0,28.0,7.8,3.39,26.0,20.4,61.6,0.6804991562357884,0.3784144854584244,0.6804991562357884
83.0,40.8,757.0,32.0,0.0,4.23,2.0,20.4,61.2,0.6815815820677245,0.3776920055116962,0.6815815820677245
83.0,37.3,793.0,31.0,2.3,4.22,0.0,20.0,52.9,0.6810605687708675,0.3773320511045014,0.6810605687708675
83.0,38.0,800.0,30.0,3.9,4.13,0.0,20.4,57.6,0.6834251594139716,0.3764162891188711,0.6834251594139716
83.0,34.9,806.0,33.0,3.9,4.11,0.0,20.0,58.4,0.6846024880208248,0.3765411249317715,0.6846024880208248
83.0,39.2,789.0,31.0,-1.6,4.21,0.0,20.0,56.5,0.6856183314936379,0.3761936043334756,0.6856183314936379
84.0,34.1,812.0,31.0,-2.3,4.11,0.0,20.0,57.6,0.6856520904227493,0.3760300859822236,0.6856520904227493
84.0,36.5,810.0,31.0,-2.3,4.1,0.0,20.4,56.1,0.6842594984168349,0.3774457003522717,0.6842594984168349
84.0,35.3,802.0,32.0,2.3,4.21,0.0,20.0,57.6,0.6852824567395028,0.3774602284427665,0.6852824567395028
84.0,34.9,809.0,33.0,2.3,3.8,0.0,20.0,55.7,0.6878307310350091,0.3773389322306277,0.6878307310350091
84.0,36.9,806.0,31.0,2.3,3.99,0.0,20.0,55.3,0.6863426033954109,0.379463393754334,0.6863426033954109
84.0,34.5,816.0,32.0,3.9,4.24,0.0,20.0,58.8,0.6883162234501004,0.3794947484797444,0.6883162234501004
84.0,38.4,796.0,51.0,-2.3,3.96,2.0,20.0,58.0,0.6906543385593619,0.3795931853163758,0.6906543385593619
84.0,64.3,1065.0,32.0,2.3,9.78,11.0,28.6,51.4,0.6935048214731783,0.3788892617080179,0.6935048214731783
