ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,TIMING_ADVANCE,entropy_joint,complexity_joint,fisher_joint
83.0,53.7,1265.0,57.0,3.1,10.46,22.0,29.4,65.5,0.6634241810120921,0.381502552797161,0.6634241810120921
83.0,69.4,2098.0,48.0,0.0,22.9,29.0,34.5,67.8,0.6617881507641525,0.3822763746392018,0.6617881507641525
83.0,71.4,1546.0,67.0,-1.6,17.29,38.0,32.9,66.3,0.6622784712789959,0.3822872887411764,0.6622784712789959
84.0,77.6,2009.0,43.0,0.0,20.52,43.0,32.9,67.1,0.6648614608110939,0.38224916404956905,0.6648614608110939
84.0,44.3,2130.0,43.0,-5.5,14.4,43.0,31.0,71.8,0.6648197850910099,0.3828442115343476,0.6648197850910099
84.0,16.1,1469.0,36.0,-0.8,7.32,33.67127381397086,26.3,65.5,0.6664287742992565,0.38391120501348786,0.6664287742992565
84.0,54.9,1375.0,49.0,4.7,11.16,41.0,29.8,67.5,0.6660196658918665,0.3838780291659428,0.6660196658918665
84.0,58.4,1481.0,45.0,-0.8,12.88,48.0,30.6,67.8,0.6655223043433199,0.3837414858298618,0.6655223043433199
84.0,42.0,1610.0,20.0,3.1,9.64,48.0,27.1,71.4,0.6652037237942666,0.38290641168197886,0.6652037237942666
84.0,34.1,923.0,35.0,-3.9,3.88,48.0,23.5,52.2,0.6656086848770122,0.38295434254308375,0.6656086848770122
83.0,43.5,1345.0,44.0,-3.9,9.21,50.0,27.8,68.2,0.6668620596260819,0.38317877527556804,0.6668620596260819
83.0,59.6,1390.0,64.0,3.9,12.28,51.0,30.2,66.7,0.6675911573877853,0.3833722814645002,0.6675911573877853
83.0,76.5,1439.0,50.0,0.0,16.38,55.0,32.2,64.3,0.6682381853362476,0.3832921376403633,0.6682381853362476
83.0,15.3,1407.0,30.0,7.8,3.67,55.0,20.0,72.9,0.6741157950194554,0.3808486181714715,0.6741157950194554
83.0,40.0,788.0,34.0,-3.9,4.3,52.0,20.4,52.9,0.6739372581433345,0.3806503063638479,0.6739372581433345
83.0,33.3,808.0,32.0,0.8,4.16,46.0,20.4,54.9,0.6752370810417981,0.38071823379301495,0.6752370810417981
