ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,Short Term Fuel Trim Bank 1,MAF,SPEED,THROTTLE_POS,mv_entropy,mv_complexity,mv_fisher,mv_shannon
43.5,753.0,32.0,-1.6,4.56,2.0,21.2,0.8741829033234508,0.1669722279042187,0.8741829033234508,0.1020568902167412
86.7,1117.0,35.0,4.7,15.91,19.0,32.2,0.8636416263382024,0.1821966719660157,0.8636416263382024,0.0977414188755286
16.1,1781.0,59.0,0.0,4.85,22.0,22.4,0.8588773389735889,0.1867307566605646,0.8588773389735889,0.0960596492942654
28.2,1868.0,63.0,-0.8,12.41,42.0,32.2,0.8613837094391322,0.1852733561742824,0.8613837094391322,0.0988133510995151
73.3,2097.0,49.0,-4.7,22.97,44.0,34.1,0.8560771862977371,0.1886068882303432,0.8560771862977371,0.107411886549045
57.6,2166.0,58.0,-6.2,18.73,46.0,32.5,0.8579529788520333,0.1871232198010536,0.8579529788520333,0.1046259502194467
68.2,2281.0,55.0,2.3,23.04,49.0,34.1,0.8517938648866247,0.1924473037839344,0.8517938648866247,0.1220922931805753
55.3,1742.0,63.0,6.2,19.48,54.0,33.7,0.8531886914874197,0.1915865948066831,0.8531886914874197,0.1190942295107034
58.8,1777.0,50.0,3.1,15.21,52.0,31.4,0.8613837094391322,0.1852733561742824,0.8613837094391322,0.1118799260869181
85.1,1657.0,51.0,-0.8,20.71,51.0,34.1,0.8537309272642012,0.197049004693652,0.8537309272642012,0.1046130214838814
60.8,1699.0,18.0,2.3,15.66,50.0,31.8,0.8512245567986579,0.1984492128765432,0.8512245567986579,0.1069952361646572
38.4,1652.0,21.0,-1.6,9.1,39.0,27.8,0.8512245567986579,0.1984492128765432,0.8512245567986579,0.1031189121299385
87.8,1348.0,67.0,0.8,19.18,48.0,34.1,0.8512245567986579,0.1984492128765432,0.8512245567986579,0.1031189121299385
72.2,1700.0,35.0,1.6,17.5,53.0,32.5,0.8512245567986579,0.1984492128765432,0.8512245567986579,0.1048343956022613
18.4,1299.0,21.0,10.2,3.77,42.0,20.4,0.8512245567986579,0.1984492128765432,0.8512245567986579,0.0992583035812827
23.1,1086.0,29.0,-2.3,3.69,30.0,19.2,0.847793826211559,0.2002065242482067,0.847793826211559,0.1089869962479883
31.4,801.0,33.0,0.8,3.62,0.0,19.6,0.8460781450892704,0.2008335615916834,0.8460781450892704,0.1182123071073387
71.8,795.0,44.0,3.1,5.59,12.0,18.8,0.8399190311238616,0.2059460356731446,0.8399190311238616,0.1244412595885764
